Team,ABBR,ESPN_FPI,CONF,DIV,Wins,Losses,Percent,PointsFor,PointsAgainst,PointDiff,MarginOfVictory,StrengthOfSched,SimpleRatingSystem,OffenseSRS,DeffenseSRS
Philadelphia Eagles*,PHI,5.6,NFC,East,14,3,0.824,463,303,160,9.4,-1.7,7.7,3,4.7
Baltimore Ravens*,BAL,5.5,AFC,North,12,5,0.706,518,361,157,9.2,0.6,9.9,8,1.9
Kansas City Chiefs*,KC,5.2,AFC,West,15,2,0.882,385,326,59,3.5,0.7,4.2,-0.2,4.4
Detroit Lions*,DET,4.7,NFC,North,15,2,0.882,564,342,222,13.1,0.7,13.8,10.6,3.2
Buffalo Bills*,BUF,4.3,AFC,East,13,4,0.765,525,368,157,9.2,-1.1,8.1,7.8,0.3
Washington Commanders+,WSH,2.5,NFC,East,12,5,0.706,485,391,94,5.5,-1.8,3.7,4.9,-1.2
Green Bay Packers+,GB,2.4,NFC,North,11,6,0.647,460,338,122,7.2,0.9,8.1,4.9,3.2
Cincinnati Bengals,CIN,2.2,AFC,North,9,8,0.529,472,434,38,2.2,-0.8,1.4,5,-3.6
Los Angeles Chargers+,LAC,2.1,AFC,West,11,6,0.647,402,301,101,5.9,-0.6,5.3,0.6,4.7
Los Angeles Rams*,LAR,1.9,NFC,West,10,7,0.588,367,386,-19,-1.1,1.1,-0.1,-0.6,0.6
San Francisco 49ers,SF,1.8,NFC,West,6,11,0.353,389,436,-47,-2.8,1.6,-1.2,0.9,-2.1
Denver Broncos+,DEN,1.4,AFC,West,10,7,0.588,425,311,114,6.7,-0.3,6.4,2.1,4.3
Minnesota Vikings+,MIN,1,NFC,North,14,3,0.824,432,332,100,5.9,0.3,6.2,2.8,3.4
Houston Texans*,HOU,0.8,AFC,South,10,7,0.588,372,372,0,0,-0.7,-0.7,-1.5,0.8
Tampa Bay Buccaneers*,TB,0.8,NFC,South,10,7,0.588,502,385,117,6.9,-0.4,6.4,6,0.4
Pittsburgh Steelers+,PIT,0.5,AFC,North,10,7,0.588,380,347,33,1.9,0.1,2.1,-0.7,2.8
Chicago Bears,CHI,0.3,NFC,North,5,12,0.294,310,370,-60,-3.5,1.2,-2.3,-4.8,2.4
Dallas Cowboys,DAL,-0.2,NFC,East,7,10,0.412,350,468,-118,-6.9,0.6,-6.3,-2.6,-3.7
Arizona Cardinals,ARI,-0.6,NFC,West,8,9,0.471,400,379,21,1.2,0.9,2.1,0.8,1.2
Seattle Seahawks,SEA,-1,NFC,West,10,7,0.588,375,368,7,0.4,0.8,1.3,-0.3,1.5
Miami Dolphins,MIA,-1.2,AFC,East,8,9,0.471,345,364,-19,-1.1,-1.9,-3,-3.5,0.4
Jacksonville Jaguars,JAX,-1.8,AFC,South,4,13,0.235,320,435,-115,-6.8,-0.8,-7.5,-4.2,-3.4
Indianapolis Colts,IND,-2.1,AFC,South,8,9,0.471,377,427,-50,-2.9,-0.7,-3.7,-0.5,-3.2
Las Vegas Raiders,LV,-2.4,AFC,West,4,13,0.235,309,434,-125,-7.4,1,-6.4,-3.9,-2.5
Atlanta Falcons,ATL,-2.7,NFC,South,8,9,0.471,389,423,-34,-2,-0.2,-2.2,0,-2.2
New England Patriots,NE,-2.8,AFC,East,4,13,0.235,289,417,-128,-7.5,-0.6,-8.1,-6.2,-1.9
New York Giants,NYG,-3.7,NFC,East,3,14,0.176,273,415,-142,-8.4,0.3,-8,-7.5,-0.5
Carolina Panthers,CAR,-4.3,NFC,South,5,12,0.294,341,534,-193,-11.4,0.4,-11,-2.6,-8.4
New York Jets,NYJ,-4.5,AFC,East,5,12,0.294,338,404,-66,-3.9,-0.5,-4.3,-3,-1.4
Tennessee Titans,TEN,-4.7,AFC,South,3,14,0.176,311,460,-149,-8.8,0.4,-8.4,-4.7,-3.7
Cleveland Browns,CLE,-4.9,AFC,North,3,14,0.176,258,435,-177,-10.4,1.2,-9.2,-7.1,-2.1
New Orleans Saints,NO,-5.4,NFC,South,5,12,0.294,338,398,-60,-3.5,-0.6,-4.1,-3.6,-0.5
